type,amount,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
CASH_OUT,263417.57,5522.0,0.0,C348246184,0.0,263417.57,0,0
CASH_OUT,486850.24,0.0,0.0,C427413967,1610141.22,2096991.46,0,0
PAYMENT,1059.18,105878.2,104819.02,M504120665,0.0,0.0,0,0
CASH_OUT,173941.74,34294.0,0.0,C1273243343,379916.76,553858.51,0,0
CASH_OUT,54208.54,74220.0,20011.46,C1821716039,2704242.06,2418086.12,0,0
PAYMENT,8877.76,7055.0,0.0,M1059098119,0.0,0.0,0,0
CASH_IN,89471.45,5533337.48,5622808.92,C1406840355,2301592.2,2212120.75,0,0
PAYMENT,59956.38,64965.0,5008.62,M2005269999,0.0,0.0,0,0
PAYMENT,14095.93,0.0,0.0,M404202495,0.0,0.0,0,0
PAYMENT,14800.26,0.0,0.0,M942963568,0.0,0.0,0,0
CASH_OUT,427286.8,2246.0,0.0,C331257466,68622.88,495909.68,0,0
CASH_OUT,229814.16,0.0,0.0,C300509724,705768.3,935582.46,0,0
CASH_OUT,163828.39,0.0,0.0,C94117810,243735.2,407563.59,0,0
PAYMENT,12818.79,50306.0,37487.21,M1660376585,0.0,0.0,0,0
PAYMENT,20737.42,134.0,0.0,M457533398,0.0,0.0,0,0
TRANSFER,543670.47,0.0,0.0,C320885946,769261.4,1312931.87,0,0
CASH_OUT,239244.31,0.0,0.0,C798094520,791282.35,1030526.66,0,0
PAYMENT,8438.3,10768.0,2329.7,M1139355654,0.0,0.0,0,0
CASH_OUT,13539.0,0.0,0.0,C1844275417,1661608.07,1675147.08,0,0
PAYMENT,7324.89,47326.0,40001.11,M1511385910,0.0,0.0,0,0
CASH_OUT,109925.71,32137.0,0.0,C560370790,0.0,109925.71,0,0
PAYMENT,13158.14,209981.52,196823.38,M1503684503,0.0,0.0,0,0
CASH_IN,246581.48,4568939.33,4815520.81,C1458510592,1555171.04,1308589.56,0,0
PAYMENT,20112.18,148414.42,128302.24,M460262074,0.0,0.0,0,0
PAYMENT,37035.55,26232.57,0.0,M730617054,0.0,0.0,0,0
CASH_OUT,211335.02,43723.0,0.0,C1717139449,453490.97,664825.99,0,0
CASH_OUT,169236.88,86615.49,0.0,C1082929190,2190111.83,2359348.7,0,0
CASH_IN,503516.15,2310613.19,2814129.34,C1272277124,1330935.48,827419.33,0,0
CASH_IN,96383.74,199069.0,295452.74,C1556276613,247268.16,150884.43,0,0
CASH_OUT,394065.26,0.0,0.0,C1412121092,766938.31,1161003.58,0,0
CASH_OUT,352621.51,3063.0,0.0,C1862756483,580800.82,933422.32,0,0
CASH_OUT,66472.99,0.0,0.0,C589184282,218601.18,285074.17,0,0
CASH_IN,330165.67,21700.0,351865.67,C250780577,87017.63,0.0,0,0
CASH_OUT,122519.95,0.0,0.0,C1002643946,757052.36,879572.31,0,0
CASH_IN,281960.97,4155566.48,4437527.44,C971207593,4061299.01,3779338.04,0,0
PAYMENT,34028.44,0.0,0.0,M1339648990,0.0,0.0,0,0
CASH_OUT,25743.34,1234.0,0.0,C657289600,0.0,25743.34,0,0
CASH_IN,59662.44,3651607.9,3711270.33,C1387755299,647921.7,588259.27,0,0
PAYMENT,22628.07,21477.0,0.0,M1871316818,0.0,0.0,0,0
CASH_IN,348411.15,5908956.47,6257367.62,C1462071772,4276539.84,3658693.19,0,0
PAYMENT,736.84,0.0,0.0,M341273694,0.0,0.0,0,0
CASH_OUT,346280.31,11117.0,0.0,C345654886,11406087.3,11752367.61,0,0
PAYMENT,6661.81,2345.0,0.0,M1478716926,0.0,0.0,0,0
CASH_IN,437396.33,4213.0,441609.33,C263110203,0.0,0.0,0,0
CASH_OUT,76645.89,0.0,0.0,C364703228,851356.21,1056800.89,0,0
CASH_OUT,50667.94,0.0,0.0,C1494463777,466786.74,517454.68,0,0
PAYMENT,80.19,7809.0,7728.81,M1832338094,0.0,0.0,0,0
CASH_OUT,175931.48,148.0,0.0,C1102657135,3611780.28,3787711.76,0,0
CASH_OUT,59760.68,11973.0,0.0,C1071289772,1338464.57,1398225.25,0,0
CASH_OUT,100370.4,0.0,0.0,C1157960823,137229.3,237599.7,0,0
PAYMENT,5926.26,74770.0,68843.74,M1647319890,0.0,0.0,0,0
CASH_OUT,343014.56,0.0,0.0,C507610253,1157642.21,1500656.77,0,0
CASH_IN,159584.27,3695855.18,3855439.45,C1933843943,6006041.66,5846457.39,0,0
CASH_OUT,344106.04,18862.0,0.0,C1182955221,0.0,344106.04,0,0
PAYMENT,6906.83,9067.0,2160.17,M1944903496,0.0,0.0,0,0
PAYMENT,12993.91,0.0,0.0,M1070838035,0.0,0.0,0,0
CASH_OUT,188901.7,0.0,0.0,C217554845,330891.16,519792.86,0,0
CASH_OUT,95471.3,0.0,0.0,C2022543056,2513957.6,2609428.91,0,0
CASH_OUT,60164.72,0.0,0.0,C792998335,886010.45,946175.17,0,0
PAYMENT,1126.49,765.0,0.0,M311320113,0.0,0.0,0,0
CASH_OUT,2248.31,0.0,0.0,C884912273,1431312.97,1433561.28,0,0
CASH_IN,179815.97,4104030.81,4283846.77,C1563090928,1530006.43,1350190.46,0,0
PAYMENT,1717.74,1745.74,28.0,M1780790255,0.0,0.0,0,0
PAYMENT,13386.57,0.0,0.0,M962474055,0.0,0.0,0,0
CASH_OUT,415828.11,0.0,0.0,C1118192112,1478629.1,1894457.21,0,0
CASH_OUT,11953.87,0.0,0.0,C1219803749,3879171.42,3891125.3,0,0
PAYMENT,3610.58,0.0,0.0,M2016484137,0.0,0.0,0,0
CASH_OUT,34355.64,1203.0,0.0,C514419541,742863.55,777219.2,0,0
PAYMENT,33390.74,0.0,0.0,M884870703,0.0,0.0,0,0
CASH_IN,47756.52,5335458.66,5383215.19,C1570981584,1055606.97,1007850.45,0,0
CASH_OUT,152521.38,0.0,0.0,C1870775973,1466232.72,1618754.1,0,0
PAYMENT,22667.89,0.0,0.0,M1988836036,0.0,0.0,0,0
CASH_OUT,116683.31,21870.0,0.0,C980577314,121440.39,238123.71,0,0
CASH_OUT,400240.3,96174.61,0.0,C192332999,1932225.92,2332466.22,0,0
PAYMENT,4608.16,0.0,0.0,M2055052215,0.0,0.0,0,0
TRANSFER,280953.38,0.0,0.0,C724065613,2663823.06,2944776.44,0,0
CASH_OUT,114247.02,0.0,0.0,C1908013096,668541.28,782788.3,0,0
CASH_OUT,105397.74,0.0,0.0,C811555732,253920.98,359318.72,0,0
CASH_IN,39418.09,32990.0,72408.09,C1897375162,0.0,0.0,0,0
PAYMENT,8974.79,0.0,0.0,M855056793,0.0,0.0,0,0
CASH_OUT,60869.46,0.0,0.0,C1263418514,7080318.75,7141188.21,0,0
CASH_OUT,148324.49,0.0,0.0,C1014522244,757611.77,905936.25,0,0
CASH_IN,51423.32,153171.0,204594.32,C1980928294,167338.52,115915.21,0,0
CASH_IN,155885.97,100027.0,255912.97,C390175103,0.0,0.0,0,0
PAYMENT,15866.06,72778.0,56911.94,M1283054123,0.0,0.0,0,0
CASH_OUT,182607.12,0.0,0.0,C717954566,832599.86,1015206.98,0,0
CASH_IN,180494.04,5406432.26,5586926.3,C1038139528,1098028.08,917534.04,0,0
PAYMENT,10866.78,0.0,0.0,M1185150168,0.0,0.0,0,0
PAYMENT,2824.78,277792.88,274968.1,M1787800817,0.0,0.0,0,0
CASH_IN,243119.42,14649.0,257768.42,C1372998494,5902745.05,5659625.63,0,0
CASH_OUT,121061.83,135.0,0.0,C2128000442,0.0,121061.83,0,0
CASH_OUT,148198.66,283628.0,135429.34,C520413907,8986824.31,9135022.96,0,0
CASH_OUT,90889.43,0.0,0.0,C1348980372,575231.97,666121.39,0,0
CASH_IN,222250.28,7351469.73,7573720.01,C1645080329,4057283.29,3835033.01,0,0
CASH_OUT,387021.41,1022.0,0.0,C1046605151,0.0,387021.41,0,0
PAYMENT,10112.64,0.0,0.0,M1749135843,0.0,0.0,0,0
PAYMENT,1574.64,0.0,0.0,M597225905,0.0,0.0,0,0
CASH_IN,58433.21,1772.0,60205.21,C241443971,480178.19,421744.99,0,0
TRANSFER,1357888.31,61990.0,0.0,C1576255471,28076.54,1385964.86,0,0
CASH_OUT,201980.42,11480.0,0.0,C1438232239,105353.27,307333.69,0,0
PAYMENT,16400.64,0.0,0.0,M1945228185,0.0,0.0,0,0
TRANSFER,562093.57,0.0,0.0,C771359284,1742428.87,2304522.45,0,0
CASH_IN,210306.3,779993.65,990299.95,C1750956500,1207338.85,997032.56,0,0
PAYMENT,17249.05,0.0,0.0,M1178085507,0.0,0.0,0,0
CASH_IN,84150.15,14925240.31,15009390.45,C1948749425,87636.75,3486.61,0,0
TRANSFER,158783.34,0.0,0.0,C1096160924,1587971.97,1746755.31,0,0
DEBIT,1462.14,20586.0,19123.86,C641681236,359949.75,361411.89,0,0
CASH_OUT,293400.93,0.0,0.0,C267621477,570055.4,863456.33,0,0
PAYMENT,9227.83,1252.0,0.0,M2044703087,0.0,0.0,0,0
PAYMENT,13721.95,56588.22,42866.27,M1228255377,0.0,0.0,0,0
PAYMENT,9474.8,10471.0,996.2,M980398355,0.0,0.0,0,0
PAYMENT,33748.62,38370.0,4621.38,M1729879635,0.0,0.0,0,0
CASH_OUT,200904.32,0.0,0.0,C687703141,5062412.5,5263316.82,0,0
CASH_OUT,288447.58,23546.0,0.0,C371639757,299490.76,587938.34,0,0
PAYMENT,6749.4,62145.0,55395.6,M567498987,0.0,0.0,0,0
PAYMENT,33444.73,22109.0,0.0,M143076452,0.0,0.0,0,0
CASH_IN,250120.09,4765640.83,5015760.92,C1739199228,1503203.57,1253083.48,0,0
CASH_IN,79144.49,59997.0,139141.49,C731293531,243506.77,164362.28,0,0
CASH_OUT,79683.74,115448.37,35764.63,C1741841276,1061611.74,1141295.48,0,0
PAYMENT,2441.08,0.0,0.0,M368248742,0.0,0.0,0,0
CASH_OUT,63961.46,117.0,0.0,C488422911,294619.92,358581.37,0,0
CASH_IN,532388.06,8944164.93,9476552.99,C2096278026,540730.45,8342.39,0,0
CASH_IN,392932.08,0.0,392932.08,C116239353,0.0,0.0,0,0
CASH_IN,225478.61,208.0,225686.61,C824822122,129038.62,0.0,0,0
CASH_OUT,153520.44,29890.0,0.0,C1054299324,105920.31,259440.76,0,0
CASH_IN,46352.59,14788.0,61140.59,C2092610606,0.0,0.0,0,0
CASH_OUT,242666.05,0.0,0.0,C1013875739,769591.51,1012257.56,0,0
CASH_IN,44938.11,348044.6,392982.71,C1361507279,361338.67,316400.56,0,0
PAYMENT,1977.0,0.0,0.0,M1443824587,0.0,0.0,0,0
CASH_IN,304541.18,10019.0,314560.18,C1285505539,1632662.14,1328120.97,0,0
PAYMENT,13596.87,3059.0,0.0,M1270965879,0.0,0.0,0,0
CASH_OUT,23239.21,820.0,0.0,C2133880919,4961094.32,4984333.53,0,0
CASH_IN,177776.09,16418153.21,16595929.31,C2036801777,3409895.61,3232119.51,0,0
TRANSFER,1007368.53,0.0,0.0,C463507671,4028077.8,4990468.67,0,0
PAYMENT,53912.18,15355.0,0.0,M456676380,0.0,0.0,0,0
PAYMENT,3039.7,10539.0,7499.3,M248157525,0.0,0.0,0,0
CASH_IN,54410.36,25181920.18,25236330.54,C1315378774,2562218.77,2507808.41,0,0
PAYMENT,13485.96,177617.0,164131.04,M1152274076,0.0,0.0,0,0
CASH_OUT,80.43,0.0,0.0,C1412415601,359083.95,359164.39,0,0
PAYMENT,43565.0,15350.0,0.0,M788391718,0.0,0.0,0,0
TRANSFER,572489.81,0.0,0.0,C1179912523,1570589.15,2143078.96,0,0
PAYMENT,6897.8,0.0,0.0,M2029205506,0.0,0.0,0,0
CASH_IN,244731.31,32360.0,277091.31,C1074376358,248856.47,4125.16,0,0
CASH_OUT,74590.95,0.0,0.0,C1781962546,206381.69,280972.63,0,0
PAYMENT,56898.43,20019.0,0.0,M1864750218,0.0,0.0,0,0
CASH_OUT,74584.28,0.0,0.0,C298193815,1294869.94,1369454.22,0,0
CASH_OUT,109527.8,36824.0,0.0,C1495817247,1299745.73,1409273.53,0,0
CASH_OUT,46722.98,0.0,0.0,C1980362311,3950667.86,4226365.49,0,0
CASH_IN,113625.23,65894.0,179519.23,C1327377307,0.0,0.0,0,0
CASH_OUT,205770.05,466226.64,260456.59,C1698577928,258895.72,464665.77,0,0
PAYMENT,14076.47,6071.0,0.0,M1897624110,0.0,0.0,0,0
CASH_OUT,208709.0,11479.0,0.0,C1967864415,557334.76,766043.76,0,0
CASH_OUT,230388.12,0.0,0.0,C874219783,405613.82,636001.95,0,0
PAYMENT,12544.09,0.0,0.0,M1945445019,0.0,0.0,0,0
CASH_OUT,179398.38,15184.0,0.0,C1062146160,0.0,179398.38,0,0
CASH_OUT,403014.81,0.0,0.0,C2125105461,2481969.7,2884984.51,0,0
PAYMENT,5115.76,0.0,0.0,M223070652,0.0,0.0,0,0
CASH_IN,213674.19,129572.0,343246.19,C1109934856,0.0,0.0,0,0
PAYMENT,207.91,150.0,0.0,M1023192188,0.0,0.0,0,0
CASH_OUT,25674.05,79549.08,53875.03,C1321802524,9728315.37,9753989.42,0,0
TRANSFER,241007.76,0.0,0.0,C1642306592,1424817.0,1665824.76,0,0
TRANSFER,892488.98,31728.0,0.0,C1397653116,0.0,892488.98,0,0
CASH_IN,122535.78,4490833.34,4613369.13,C936540384,11225813.33,11103277.55,0,0
PAYMENT,9121.48,0.0,0.0,M2080840689,0.0,0.0,0,0
PAYMENT,3531.13,1107.31,0.0,M1936580062,0.0,0.0,0,0
CASH_OUT,310150.79,0.0,0.0,C1338906934,880277.98,1190428.77,0,0
PAYMENT,17489.96,0.0,0.0,M86676774,0.0,0.0,0,0
CASH_OUT,712042.25,0.0,0.0,C708126473,793922.61,1505964.85,0,0
CASH_IN,177418.45,3519783.39,3697201.84,C331125714,1631962.04,1454543.59,0,0
CASH_OUT,570871.94,0.0,0.0,C125546496,601799.69,1834212.55,0,0
CASH_OUT,372044.07,0.0,0.0,C6169897,592553.7,964597.77,0,0
PAYMENT,22047.41,240.0,0.0,M1131480723,0.0,0.0,0,0
CASH_OUT,68675.39,0.0,0.0,C2030151083,594068.31,662743.71,0,0
TRANSFER,297582.56,0.0,0.0,C1081632645,2279926.08,2577508.64,0,0
PAYMENT,25121.24,82143.0,57021.76,M1823375015,0.0,0.0,0,0
CASH_OUT,149221.71,292.0,0.0,C1554645584,1406693.88,1555915.6,0,0
PAYMENT,3275.72,0.0,0.0,M800733186,0.0,0.0,0,0
CASH_OUT,184028.18,0.0,0.0,C501910099,289103.28,473131.47,0,0
CASH_IN,287902.82,903302.0,1191204.82,C1697209051,97535.09,0.0,0,0
PAYMENT,9050.9,233907.0,224856.1,M544099859,0.0,0.0,0,0
PAYMENT,8471.88,75299.73,66827.86,M1473700067,0.0,0.0,0,0
CASH_IN,161481.18,14462159.36,14623640.54,C1351109934,551955.09,390473.91,0,0
PAYMENT,10026.58,0.0,0.0,M691398792,0.0,0.0,0,0
CASH_OUT,93463.23,128578.25,35115.02,C1786636779,1602666.18,1696129.41,0,0
PAYMENT,12207.7,20980.0,8772.3,M1559619413,0.0,0.0,0,0
PAYMENT,13088.6,0.0,0.0,M1728828740,0.0,0.0,0,0
PAYMENT,14995.4,0.0,0.0,M446922052,0.0,0.0,0,0
PAYMENT,11983.37,25105.0,13121.63,M1782783322,0.0,0.0,0,0
PAYMENT,11298.01,0.0,0.0,M1524776369,0.0,0.0,0,0
CASH_IN,37865.84,110320.0,148185.84,C1512038391,929637.66,891771.83,0,0
CASH_OUT,105907.69,49570.87,0.0,C2109941947,1823478.42,1929386.11,0,0
CASH_OUT,130461.8,0.0,0.0,C1585379798,465664.02,596125.81,0,0
CASH_OUT,125918.31,10136.88,0.0,C53259012,811976.02,937894.33,0,0
CASH_OUT,281325.52,0.0,0.0,C1490809414,12345002.07,12626327.59,0,0
CASH_OUT,65798.87,20973.0,0.0,C2094004195,0.0,65798.87,0,0
TRANSFER,983074.48,100669.0,0.0,C1672834880,3748279.02,4731353.51,0,0
CASH_IN,236192.22,12566663.75,12802855.97,C62529822,5692702.07,5456509.85,0,0
PAYMENT,12910.65,19847.0,6936.35,M1544730763,0.0,0.0,0,0
CASH_OUT,416281.45,10542.0,0.0,C365063356,1508441.12,2061347.94,0,0
CASH_IN,343285.78,9382943.44,9726229.22,C373328018,3327388.17,2984102.39,0,0
PAYMENT,5855.22,30418.0,24562.78,M1476286831,0.0,0.0,0,0
CASH_OUT,113796.76,0.0,0.0,C1036088207,3055247.09,3169043.84,0,0
CASH_OUT,56689.16,0.0,0.0,C651320195,2426067.36,2482756.52,0,0
CASH_OUT,175296.83,0.0,0.0,C1029160709,755664.89,930961.71,0,0
PAYMENT,3516.45,97594.0,94077.55,M2079700117,0.0,0.0,0,0
PAYMENT,29348.97,13187.0,0.0,M132146356,0.0,0.0,0,0
PAYMENT,17168.34,702.0,0.0,M191142001,0.0,0.0,0,0
CASH_OUT,150923.88,0.0,0.0,C1988997321,285535.48,436459.36,0,0
CASH_OUT,327022.66,0.0,0.0,C1691505172,638160.89,965183.55,0,0
PAYMENT,73001.75,0.0,0.0,M1109179985,0.0,0.0,0,0
TRANSFER,634730.76,0.0,0.0,C1661651792,3339766.94,3974497.71,0,0
CASH_OUT,256907.21,415712.0,158804.79,C2030460466,0.0,256907.21,0,0
CASH_OUT,178584.97,139021.0,0.0,C1356469052,655370.05,833955.02,0,0
CASH_OUT,168654.65,0.0,0.0,C553819459,745566.73,914221.38,0,0
PAYMENT,8249.74,938.0,0.0,M1797050679,0.0,0.0,0,0
PAYMENT,20849.0,0.0,0.0,M931828628,0.0,0.0,0,0
TRANSFER,2105420.61,40627.0,0.0,C1295386672,0.0,2105420.61,0,0
CASH_OUT,81502.19,49824.25,0.0,C175231952,342293.06,423795.25,0,0
CASH_OUT,314533.06,0.0,0.0,C434802953,398301.87,712834.94,0,0
PAYMENT,2110.98,21314.0,19203.02,M1241952998,0.0,0.0,0,0
PAYMENT,14866.25,0.0,0.0,M844736286,0.0,0.0,0,0
PAYMENT,4564.44,82395.0,77830.56,M1515175831,0.0,0.0,0,0
CASH_OUT,7470.08,0.0,0.0,C1543678279,11197.62,18667.7,0,0
CASH_IN,30795.61,2571894.48,2602690.09,C346053425,4548105.57,4517309.96,0,0
TRANSFER,2027408.01,0.0,0.0,C1426710143,5875888.19,7903296.2,0,0
PAYMENT,1675.49,16391.0,14715.51,M49708074,0.0,0.0,0,0
CASH_OUT,188919.22,31788.0,0.0,C245194767,0.0,188919.22,0,0
DEBIT,4159.05,57684.56,53525.5,C811966990,36999.97,41159.02,0,0
CASH_OUT,177355.78,0.0,0.0,C1635564086,835745.55,1013101.33,0,0
PAYMENT,5134.96,0.0,0.0,M1970029789,0.0,0.0,0,0
CASH_OUT,73714.78,0.0,0.0,C1416217965,6366187.5,6439902.29,0,0
CASH_OUT,101942.95,0.0,0.0,C62449783,255333.92,357276.87,0,0
CASH_IN,71973.57,8384280.53,8456254.09,C13155908,4508842.9,4436869.33,0,0
CASH_OUT,300239.36,0.0,0.0,C741916559,830448.23,1130687.59,0,0
CASH_IN,115508.68,8591388.6,8706897.27,C1893692366,251047.24,135538.57,0,0
CASH_IN,157921.75,72672.0,230593.75,C408313524,0.0,0.0,0,0
CASH_IN,144646.23,15720434.53,15865080.77,C1481144012,329287.83,221541.41,0,0
CASH_OUT,127092.58,84830.0,0.0,C49805338,20443.62,147536.2,0,0
PAYMENT,33650.0,153682.0,120032.0,M1569782692,0.0,0.0,0,0
PAYMENT,6204.75,21398.0,15193.25,M1298512935,0.0,0.0,0,0
CASH_OUT,391572.08,947999.0,556426.92,C1522173951,0.0,391572.08,0,0
CASH_OUT,23242.26,9256.0,0.0,C149184698,0.0,23242.26,0,0
CASH_OUT,93710.08,0.0,0.0,C182910202,557385.94,651096.01,0,0
CASH_IN,49786.35,1846777.12,1896563.47,C1513870389,106194.63,56408.28,0,0
PAYMENT,15858.54,0.0,0.0,M430822605,0.0,0.0,0,0
PAYMENT,6964.99,0.0,0.0,M112597991,0.0,0.0,0,0
CASH_IN,278619.36,1617773.05,1896392.42,C1807536695,11201850.6,10923231.24,0,0
CASH_OUT,48.56,0.0,0.0,C784018943,3908043.04,3908091.6,0,0
CASH_IN,63551.93,210.0,63761.93,C777202840,0.0,0.0,0,0
PAYMENT,3989.37,54092.0,50102.63,M1936395262,0.0,0.0,0,0
CASH_OUT,228676.08,43314.0,0.0,C1799102582,119878.01,348554.08,0,0
